2023-07-25 05:05:39,774 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 29.0
2023-07-25 05:14:24,579 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 47.0
2023-07-25 05:26:52,881 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 47.0
2023-07-25 05:45:49,702 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-25 05:48:01,550 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 962.0
2023-07-25 07:06:47,780 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-25 07:13:58,717 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 965.0
2023-07-25 07:14:28,551 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 29.0
2023-07-25 11:26:53,013 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 47.0
2023-07-25 13:06:48,002 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-25 13:13:58,676 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 978.0
2023-07-27 17:26:54,267 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 47.0
2023-07-27 19:06:49,945 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-27 19:13:59,438 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1091.0
2023-07-27 19:14:29,460 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-27 23:26:54,396 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-28 01:06:50,145 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-28 01:13:47,657 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1103.0
2023-07-28 01:14:18,521 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-07-28 01:14:29,539 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-28 01:14:42,793 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-07-28 05:05:40,825 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-28 05:14:26,347 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-28 05:26:54,526 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-28 05:45:52,281 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-28 05:48:02,580 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1113.0
2023-07-28 07:06:50,336 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-28 07:14:29,749 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-28 11:26:54,663 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-28 13:06:50,567 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-28 13:14:11,589 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1129.0
2023-07-28 13:14:29,984 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-28 17:26:54,811 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-28 19:13:47,923 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1142.0000000000002
2023-07-28 19:14:30,098 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-28 23:26:54,927 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-29 01:06:50,987 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-29 05:05:41,179 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-29 05:14:27,027 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-29 05:26:55,063 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-29 05:45:53,104 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-29 05:48:14,794 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1165.0
